filename,label,label_name,template,n_lines,n_chars
legit_0000.py,0,legitimate,legit_weather_bot,43,1232
legit_0001.py,0,legitimate,legit_weather_bot,44,1244
legit_0002.py,0,legitimate,legit_weather_bot,44,1236
legit_0003.py,0,legitimate,legit_weather_bot,49,1308
legit_0004.py,0,legitimate,legit_weather_bot,43,1229
legit_0005.py,0,legitimate,legit_weather_bot,43,1229
legit_0006.py,0,legitimate,legit_weather_bot,43,1231
legit_0007.py,0,legitimate,legit_weather_bot,44,1243
legit_0008.py,0,legitimate,legit_weather_bot,44,1236
legit_0009.py,0,legitimate,legit_weather_bot,43,1229
legit_0010.py,0,legitimate,legit_reminder_bot,83,2248
legit_0011.py,0,legitimate,legit_reminder_bot,82,2235
legit_0012.py,0,legitimate,legit_reminder_bot,82,2229
legit_0013.py,0,legitimate,legit_reminder_bot,83,2239
legit_0014.py,0,legitimate,legit_reminder_bot,83,2241
legit_0015.py,0,legitimate,legit_reminder_bot,82,2233
legit_0016.py,0,legitimate,legit_reminder_bot,83,2248
legit_0017.py,0,legitimate,legit_reminder_bot,83,2240
legit_0018.py,0,legitimate,legit_reminder_bot,82,2233
legit_0019.py,0,legitimate,legit_reminder_bot,82,2233
legit_0020.py,0,legitimate,legit_flask_blog,68,1679
legit_0021.py,0,legitimate,legit_flask_blog,69,1694
legit_0022.py,0,legitimate,legit_flask_blog,69,1694
legit_0023.py,0,legitimate,legit_flask_blog,68,1679
legit_0024.py,0,legitimate,legit_flask_blog,69,1694
legit_0025.py,0,legitimate,legit_flask_blog,68,1679
legit_0026.py,0,legitimate,legit_flask_blog,68,1679
legit_0027.py,0,legitimate,legit_flask_blog,69,1696
legit_0028.py,0,legitimate,legit_flask_blog,69,1696
legit_0029.py,0,legitimate,legit_flask_blog,69,1687
legit_0030.py,0,legitimate,legit_fastapi_users,76,2272
legit_0031.py,0,legitimate,legit_fastapi_users,76,2272
legit_0032.py,0,legitimate,legit_fastapi_users,81,2334
legit_0033.py,0,legitimate,legit_fastapi_users,77,2280
legit_0034.py,0,legitimate,legit_fastapi_users,77,2289
legit_0035.py,0,legitimate,legit_fastapi_users,77,2287
legit_0036.py,0,legitimate,legit_fastapi_users,76,2272
legit_0037.py,0,legitimate,legit_fastapi_users,76,2272
legit_0038.py,0,legitimate,legit_fastapi_users,77,2287
legit_0039.py,0,legitimate,legit_fastapi_users,76,2272
legit_0040.py,0,legitimate,legit_news_parser,84,2091
legit_0041.py,0,legitimate,legit_news_parser,84,2093
legit_0042.py,0,legitimate,legit_news_parser,83,2076
legit_0043.py,0,legitimate,legit_news_parser,83,2076
legit_0044.py,0,legitimate,legit_news_parser,89,2145
legit_0045.py,0,legitimate,legit_news_parser,83,2076
legit_0046.py,0,legitimate,legit_news_parser,88,2138
legit_0047.py,0,legitimate,legit_news_parser,83,2076
legit_0048.py,0,legitimate,legit_news_parser,83,2076
legit_0049.py,0,legitimate,legit_news_parser,83,2076
legit_0050.py,0,legitimate,legit_dict_bot,48,1313
legit_0051.py,0,legitimate,legit_dict_bot,48,1320
legit_0052.py,0,legitimate,legit_dict_bot,47,1305
legit_0053.py,0,legitimate,legit_dict_bot,52,1367
legit_0054.py,0,legitimate,legit_dict_bot,48,1312
legit_0055.py,0,legitimate,legit_dict_bot,47,1305
legit_0056.py,0,legitimate,legit_dict_bot,48,1320
legit_0057.py,0,legitimate,legit_dict_bot,47,1305
legit_0058.py,0,legitimate,legit_dict_bot,47,1305
legit_0059.py,0,legitimate,legit_dict_bot,47,1305
legit_0060.py,0,legitimate,legit_image_converter,53,1708
legit_0061.py,0,legitimate,legit_image_converter,53,1710
legit_0062.py,0,legitimate,legit_image_converter,52,1693
